series_id,date,value,description
DTWEXBGS,2022-08-22,123.605,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-08-23,123.0547,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-08-24,123.109,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-08-25,123.0586,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-08-26,123.0656,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-08-29,123.4686,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-08-30,123.6848,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-08-31,123.535,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-01,124.4006,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-02,123.7743,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-06,124.767,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-07,124.8408,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-08,124.578,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-09,123.7874,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-12,123.3332,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-13,124.4242,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-14,124.4509,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-15,124.8843,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-16,124.8794,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-19,125.0104,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-20,125.1248,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-21,125.7399,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-22,126.1667,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-23,127.2853,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-26,128.4539,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-27,128.4386,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-28,128.0884,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-29,127.5437,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2022-09-30,127.5148,Trade Weighted US Dollar Index (Daily)
