series_id,date,value,description
MORTGAGE30US,2021-11-04,3.09,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-11-10,2.98,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-11-18,3.1,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-11-24,3.1,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-12-02,3.11,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-12-09,3.1,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-12-16,3.12,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-12-23,3.05,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2021-12-30,3.11,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-01-06,3.22,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-01-13,3.45,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-01-20,3.56,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-01-27,3.55,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-02-03,3.55,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-02-10,3.69,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-02-17,3.92,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-02-24,3.89,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-03-03,3.76,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-03-10,3.85,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-03-17,4.16,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-03-24,4.42,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-03-31,4.67,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-04-07,4.72,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-04-14,5.0,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-04-21,5.11,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-04-28,5.1,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-05-05,5.27,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-05-12,5.3,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-05-19,5.25,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-05-26,5.1,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-06-02,5.09,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-06-09,5.23,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-06-16,5.78,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2022-06-23,5.81,30-Year Fixed Mortgage Rate (Weekly)
